commune_code,commune_full_name,province_code,province_full_name,boundary_source_url
10441,Xã Mỹ Đức,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/10441_my_duc.geojson
10459,Xã Phúc Sơn,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/10459_phuc_son.geojson
10465,Xã Hồng Sơn,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/10465_hong_son.geojson
10489,Xã Hương Sơn,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/10489_huong_son.geojson
01273,Phường Thục Phán,04,Tỉnh Cao Bằng,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/04_cao_bang/wards/01273_thuc_phan.geojson
01279,Phường Nùng Trí Cao,04,Tỉnh Cao Bằng,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/04_cao_bang/wards/01279_nung_tri_cao.geojson
01288,Phường Tân Giang,04,Tỉnh Cao Bằng,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/04_cao_bang/wards/01288_tan_giang.geojson
01290,Xã Bảo Lâm,04,Tỉnh Cao Bằng,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/04_cao_bang/wards/01290_bao_lam.geojson
01294,Xã Lý Bôn,04,Tỉnh Cao Bằng,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/04_cao_bang/wards/01294_ly_bon.geojson
01297,Xã Nam Quang,04,Tỉnh Cao Bằng,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/04_cao_bang/wards/01297_nam_quang.geojson
01304,Xã Quảng Lâm,04,Tỉnh Cao Bằng,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/04_cao_bang/wards/01304_quang_lam.geojson
01318,Xã Yên Thổ,04,Tỉnh Cao Bằng,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/04_cao_bang/wards/01318_yen_tho.geojson
01321,Xã Bảo Lạc,04,Tỉnh Cao Bằng,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/04_cao_bang/wards/01321_bao_lac.geojson
01324,Xã Cốc Pàng,04,Tỉnh Cao Bằng,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/04_cao_bang/wards/01324_coc_pang.geojson
01327,Xã Cô Ba,04,Tỉnh Cao Bằng,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/04_cao_bang/wards/01327_co_ba.geojson
01336,Xã Khánh Xuân,04,Tỉnh Cao Bằng,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/04_cao_bang/wards/01336_khanh_xuan.geojson
01339,Xã Xuân Trường,04,Tỉnh Cao Bằng,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/04_cao_bang/wards/01339_xuan_truong.geojson
01351,Xã Hưng Đạo,04,Tỉnh Cao Bằng,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/04_cao_bang/wards/01351_hung_dao.geojson
01354,Xã Huy Giáp,04,Tỉnh Cao Bằng,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/04_cao_bang/wards/01354_huy_giap.geojson
01360,Xã Sơn Lộ,04,Tỉnh Cao Bằng,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/04_cao_bang/wards/01360_son_lo.geojson
01363,Xã Thông Nông,04,Tỉnh Cao Bằng,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/04_cao_bang/wards/01363_thong_nong.geojson
01366,Xã Cần Yên,04,Tỉnh Cao Bằng,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/04_cao_bang/wards/01366_can_yen.geojson
01387,Xã Thanh Long,04,Tỉnh Cao Bằng,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/04_cao_bang/wards/01387_thanh_long.geojson
01392,Xã Trường Hà,04,Tỉnh Cao Bằng,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/04_cao_bang/wards/01392_truong_ha.geojson
